Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer,Yield,Rainfall
26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea,18.35,112.84
29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP,21.4,117.73
34.0,65.0,62.0,Black,Cotton,7,9,30,14-35-14,25.8,133.47
32.0,62.0,34.0,Red,Tobacco,22,0,20,28-28,19.3,123.41
28.0,54.0,46.0,Clayey,Paddy,35,0,0,Urea,19.85,120.58
26.0,52.0,35.0,Sandy,Barley,12,10,13,17-17-17,17.45,125.06
25.0,50.0,64.0,Red,Cotton,9,0,10,20-20,20.65,115.23
33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea,22.55,127.23
30.0,60.0,42.0,Sandy,Millets,21,0,18,28-28,20.25,127.58
29.0,58.0,33.0,Black,Oil seeds,9,7,30,14-35-14,19.3,133.87
27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP,18.95,117.93
31.0,62.0,48.0,Sandy,Maize,14,15,12,17-17-17,21.95,124.3
25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea,23.4,114.49
32.0,62.0,41.0,Clayey,Paddy,24,0,22,28-28,21.3,128.45
26.0,52.0,31.0,Red,Ground Nuts,14,0,41,DAP,19.65,121.92
31.0,62.0,49.0,Black,Sugarcane,10,13,14,17-17-17,21.55,124.19
33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea,18.9,142.9
25.0,50.0,39.0,Sandy,Barley,21,0,19,28-28,18.8,117.86
28.0,54.0,65.0,Black,Cotton,39,0,0,Urea,24.25,118.22
29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP,23.55,119.78
30.0,60.0,44.0,Sandy,Millets,10,0,9,20-20,17.65,132.57
34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,17-17-17,22.8,143.39
35.0,68.0,33.0,Red,Tobacco,11,0,37,DAP,20.6,140.06
28.0,54.0,37.0,Black,Millets,36,0,0,Urea,18.2,114.36
33.0,64.0,39.0,Clayey,Paddy,13,0,10,20-20,17.65,127.95
26.0,52.0,44.0,Sandy,Maize,23,0,20,28-28,20.45,113.69
30.0,60.0,63.0,Red,Cotton,9,9,29,14-35-14,25.65,117.92
32.0,62.0,30.0,Loamy,Sugarcane,38,0,0,Urea,17.9,135.22
37.0,70.0,32.0,Black,Oil seeds,12,0,39,DAP,21.05,134.66
26.0,52.0,36.0,Clayey,Pulses,14,0,13,20-20,16.45,121.61
29.0,58.0,40.0,Red,Ground Nuts,24,0,23,28-28,20.85,125.02
30.0,60.0,27.0,Loamy,Sugarcane,12,0,40,DAP,19.2,124.91
34.0,65.0,38.0,Clayey,Paddy,39,0,0,Urea,19.95,131.59
36.0,68.0,38.0,Sandy,Barley,7,9,30,14-35-14,21.3,130.14
26.0,52.0,48.0,Loamy,Wheat,23,0,19,28-28,21.1,121.16
28.0,54.0,35.0,Black,Millets,41,0,0,Urea,18.55,129.1
30.0,60.0,61.0,Loamy,Cotton,8,10,31,14-35-14,25.55,131.94
37.0,70.0,37.0,Clayey,Paddy,12,0,41,DAP,22.35,136.96
25.0,50.0,26.0,Red,Ground Nuts,15,14,11,17-17-17,16.2,116.71
29.0,58.0,34.0,Sandy,Millets,15,0,37,DAP,20.4,124.21
27.0,54.0,30.0,Clayey,Pulses,13,0,13,20-20,15.3,118.49
30.0,60.0,58.0,Loamy,Sugarcane,10,7,32,14-35-14,24.95,136.19
32.0,62.0,34.0,Red,Tobacco,22,0,24,28-28,19.9,127.78
34.0,65.0,60.0,Black,Sugarcane,35,0,0,Urea,23.75,135.27
35.0,67.0,42.0,Sandy,Barley,10,0,35,DAP,21.85,128.75
38.0,70.0,48.0,Loamy,Wheat,8,8,28,14-35-14,23.2,134.06
26.0,52.0,32.0,Black,Oil seeds,12,0,8,20-20,14.6,113.46
29.0,58.0,43.0,Clayey,Paddy,24,0,18,28-28,20.7,116.17
30.0,60.0,29.0,Red,Ground Nuts,41,0,0,Urea,17.95,128.57
33.0,64.0,51.0,Sandy,Maize,5,9,29,14-35-14,23.05,135.51
34.0,65.0,31.0,Red,Tobacco,23,0,21,28-28,19.3,131.32
36.0,68.0,33.0,Black,Oil seeds,13,0,14,20-20,17.45,144.42
28.0,54.0,38.0,Clayey,Pulses,40,0,0,Urea,19.0,120.76
30.0,60.0,47.0,Sandy,Barley,12,0,42,DAP,23.5,118.33
31.0,62.0,63.0,Red,Cotton,11,12,15,17-17-17,24.5,126.18
27.0,53.0,43.0,Black,Millets,23,0,24,28-28,20.95,113.71
34.0,65.0,54.0,Loamy,Wheat,38,0,0,Urea,23.0,130.48
29.0,58.0,37.0,Sandy,Millets,8,0,15,20-20,16.65,130.22
25.0,50.0,56.0,Loamy,Sugarcane,11,13,15,17-17-17,22.05,106.08
32.0,62.0,34.0,Red,Ground Nuts,15,0,37,DAP,20.8,128.34
28.0,54.0,41.0,Clayey,Paddy,36,0,0,Urea,19.0,123.92
30.0,60.0,49.0,Loamy,Wheat,13,0,9,20-20,19.1,121.73
